statenm,year,per_total,per_hhkid,per_hhnokid,per_hheld,per_hhdis,per_hhearn,per_total_fail,per_hhkid_fail,per_hhnokid_fail,per_hheld_fail,per_hhdis_fail,per_hhearn_fail,per_total_fail_pctoftotal,per_hhkid_fail_pctofhhkid,per_hhnokid_fail_pctofhhnokid,per_hheld_fail_pctofhheld,per_hhdis_fail_pctofhhdis,per_hhearn_fail_pctofhhearn,per_hhkid_fail_pctoffail,per_hhnokid_fail_pctoffail,per_hheld_fail_pctoffail,per_hhdis_fail_pctoffail,per_hhearn_fail_pctoffail
West Virginia,2016,349422.94497,225789.56894,123633.37603,46806.983604,93242.253845,118959.51648,13716.772963,6901.6503433,6815.1226196,5141.2717186,4941.7969252,7524.4857501,3.93,3.06,5.51,10.98,5.3,6.33,50.32,49.68,37.48,36.03,54.86
Wisconsin,2016,720881.20389,493222.48011,227658.72378,91234.068243,135938.59201,373566.93457,84807.429586,53339.88272,31467.546866,18873.38291,7647.8788847,63168.970955,11.76,10.81,13.82,20.69,5.63,16.91,62.9,37.1,22.25,9.02,74.49
Wyoming,2016,33493.850217,26305.152011,7188.698206,2324.4042566,5499.6028278,17198.109379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United States,2017,41490938.289,28047954.451,13442983.838,6168544.6015,7748629.8183,18372452.507,2017740.9636,1164081.8062,853659.15736,493825.66464,231314.27172,1432062.3765,4.86,4.15,6.35,8.01,2.99,7.79,57.69,42.31,24.47,11.46,70.97
Alabama,2017,793755.98423,580543.16287,213212.82135,96001.026401,180708.90711,354397.78848,2803.76433,0,2803.76433,2090.4523002,0,1159.6034907,0.35,0,1.32,2.18,0,0.33,0,100,74.56,0,41.36
Alaska,2017,86232.160164,61394.162673,24837.997491,11223.817305,9615.0125346,39761.685193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arizona,2017,852166.39049,614521.85567,237644.53482,98956.874379,86494.358515,426147.60057,15916.068403,9402.4329659,6513.6354372,1566.681066,1757.4989335,12591.888404,1.87,1.53,2.74,1.58,2.03,2.95,59.08,40.92,9.84,11.04,79.11
Arkansas,2017,374863.17937,283421.12544,91442.053932,35337.464006,103921.79263,159406.86962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
California,2017,4054063.0255,2977670.87,1076392.1555,373412.38391,93650.129757,1941567.8066,208583.91763,141580.1437,67003.773929,30293.777061,19647.657377,193105.20983,5.15,4.75,6.22,8.11,20.98,9.95,67.88,32.12,14.52,9.42,92.58
Colorado,2017,451705.63949,314355.8883,137349.75119,69049.401713,56393.849053,189038.46958,6137.5036093,3299.9085781,2837.5950313,1642.4437579,557.09823822,4784.7295268,1.36,1.05,2.07,2.38,0.99,2.53,53.77,46.23,26.76,9.08,77.96
Connecticut,2017,404174.6702,224106.05581,180068.61439,78392.248752,90656.543279,172422.85929,39023.357376,30111.29665,8912.0607261,4407.3088935,2762.3039563,32268.625923,9.66,13.44,4.95,5.62,3.05,18.71,77.16,22.84,11.29,7.08,82.69
Delaware,2017,139281.79048,98057.266104,41224.524375,17495.955442,22267.744994,67640.631626,13407.809249,8976.2163548,4431.5928942,2017.607501,1739.6651584,10539.690803,9.63,9.15,10.75,11.53,7.81,15.58,66.95,33.05,15.05,12.98,78.61
District of Columbia,2017,121571.59786,69133.550018,52438.047847,20020.443385,30133.365569,24954.964958,6013.9084302,2107.8080001,3906.1004301,1493.490115,830.18540384,4077.9275201,4.95,3.05,7.45,7.46,2.76,16.34,35.05,64.95,24.83,13.8,67.81
Florida,2017,3173542.8022,2031600.7905,1141942.0118,604362.41677,644021.16894,1387861.6476,221872.00066,127644.47695,94227.523711,55037.226336,18762.428944,162607.08212,6.99,6.28,8.25,9.11,2.91,11.72,57.53,42.47,24.81,8.46,73.29
Georgia,2017,1599843.0302,1139582.3279,460260.70228,199214.37255,337972.58973,659840.67042,33944.156593,10232.019943,23712.13665,16958.265935,8286.5932305,12170.06964,2.12,0.9,5.15,8.51,2.45,1.84,30.14,69.86,49.96,24.41,35.85
