statenm,year,hh_total,hh_hhkid,hh_hhnokid,hh_hheld,hh_hhdis,hh_hhearn,hh_total_fail,hh_hhkid_fail,hh_hhnokid_fail,hh_hheld_fail,hh_hhdis_fail,hh_hhearn_fail,hh_total_fail_pctoftotal,hh_hhkid_fail_pctofhhkid,hh_hhnokid_fail_pctofhhnokid,hh_hheld_fail_pctofhheld,hh_hhdis_fail_pctofhhdis,hh_hhearn_fail_pctofhhearn,hh_hhkid_fail_pctoffail,hh_hhnokid_fail_pctoffail,hh_hheld_fail_pctoffail,hh_hhdis_fail_pctoffail,hh_hhearn_fail_pctoffail
Virginia,2016,374168.36512,182169.74136,191998.62375,81456.007453,94673.228291,123135.66693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washington,2016,543978.54919,178416.04579,365562.5034,103609.35671,134483.5241,168047.93752,39337.345161,19867.994016,19469.351145,4463.2176345,7895.0396244,30225.771136,7.23,11.14,5.33,4.31,5.87,17.99,50.51,49.49,11.35,20.07,76.84
West Virginia,2016,174632.33268,71098.473828,103533.85886,35412.456085,48646.077621,41029.422702,7447.8898967,2202.1039504,5245.7859463,3769.4566825,1918.2823516,3256.3915878,4.26,3.1,5.07,10.64,3.94,7.94,29.57,70.43,50.61,25.76,43.72
Wisconsin,2016,357239.96024,149356.94059,207883.01965,72794.311161,76089.128607,142362.81314,43994.462054,17392.786279,26601.675775,12858.737825,5408.5938357,27638.417144,12.32,11.65,12.8,17.66,7.11,19.41,39.53,60.47,29.23,12.29,62.82
Wyoming,2016,14209.780376,7392.8902977,6816.8900786,2108.1874781,3377.6712246,5107.3202207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United States,2017,20596884.36,8595671.0446,12001213.316,4955335.6475,4288635.2475,6481169.4856,1101280.0945,400137.12986,701142.96467,398956.48245,140426.36163,631465.31844,5.35,4.66,5.84,8.05,3.27,9.74,36.33,63.67,36.23,12.75,57.34
Alabama,2017,371803.28014,176808.97595,194994.30419,79108.969507,91853.406628,121365.2034,2485.9527725,0,2485.9527725,1772.6407427,0,1159.6034907,0.67,0,1.27,2.24,0,0.96,0,100,71.31,0,46.65
Alaska,2017,37553.958858,16116.899701,21437.059157,6886.5672223,4739.4949366,11302.096608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arizona,2017,382388.55695,175652.92448,206735.63247,74875.619071,49320.835152,137000.21184,8491.3636853,3584.9205917,4906.4430937,1227.5990321,878.74946677,6385.0151865,2.22,2.04,2.37,1.64,1.78,4.66,42.22,57.78,14.46,10.35,75.19
Arkansas,2017,164959.23123,82873.31523,82085.915995,29937.267232,51143.369019,48767.09365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
California,2017,1962609.3412,1014013.5567,948595.78447,278630.69084,54022.925974,760852.65039,99724.960937,48549.568632,51175.392305,16639.024595,11951.797865,86118.98796,5.08,4.79,5.39,5.97,22.12,11.32,48.68,51.32,16.68,11.98,86.36
Colorado,2017,219319.14657,93411.492375,125907.6542,54179.84061,38775.628323,66091.499425,3572.8959488,1358.0724527,2214.8234961,1207.7465137,557.09823822,2654.8191104,1.63,1.45,1.76,2.23,1.44,4.02,38.01,61.99,33.8,15.59,74.3
Connecticut,2017,233045.9374,73423.238683,159622.69872,63837.829712,54442.748863,64479.5687,17814.714703,11258.055931,6556.658772,2744.2671412,1781.1526325,13494.995249,7.64,15.33,4.11,4.3,3.27,20.93,63.2,36.8,15.4,10,75.75
Delaware,2017,68218.936705,30804.801818,37414.134887,14017.975151,12031.911437,24319.874564,7230.8231589,3175.6211342,4055.2020246,1698.512528,1026.8569009,4843.6360013,10.6,10.31,10.84,12.12,8.53,19.92,43.92,56.08,23.49,14.2,66.99
District of Columbia,2017,69986.502141,20631.906018,49354.596123,18397.230044,15328.029799,10275.520489,4268.7452087,760.7269147,3508.018294,1329.9777681,608.43861991,2587.6565648,6.1,3.69,7.11,7.23,3.97,25.18,17.82,82.18,31.16,14.25,60.62
Florida,2017,1684766.5004,648958.54502,1035807.9554,517214.28352,344265.47341,496254.84677,119085.30955,45483.707113,73601.602435,45388.398783,10937.268718,72273.799685,7.07,7.01,7.11,8.78,3.18,14.56,38.19,61.81,38.11,9.18,60.69
Georgia,2017,745610.79152,342383.61819,403227.17332,151673.30542,168314.8135,218168.7953,23612.042228,4324.886434,19287.155794,13316.524051,4453.1678255,7864.4431109,3.17,1.26,4.78,8.78,2.65,3.6,18.32,81.68,56.4,18.86,33.31
Guam,2017,15218.946759,9442.6290419,5776.3177174,2757.2750083,343.51819059,7029.7743734,1567.8103659,1139.8893621,427.92100383,247.39665735,0,1430.4602399,10.3,12.07,7.41,8.97,0,20.35,72.71,27.29,15.78,0,91.24
Hawaii,2017,85062.217626,28765.421073,56296.796553,26134.9033,14280.713694,29627.651173,3092.1403041,1935.8171402,1156.3231639,99.127293689,175.04157498,2817.9714354,3.64,6.73,2.05,0.38,1.23,9.51,62.6,37.4,3.21,5.66,91.13
